year,State,County,City,NO2 AQI,O3 AQI,SO2 AQI,CO AQI,AQI,FIPS
2010,Arizona,Maricopa,Scottsdale,67,114,20.0,27.0,114.0,04013
2010,Arizona,Pima,Tucson,61,77,20.0,13.0,77.0,04019
2010,Arkansas,Pulaski,North Little Rock,79,87,37.0,19.0,87.0,51155
2010,California,Alameda,Oakland,50,42,13.0,18.0,50.0,06001
2010,California,Contra Costa,San Pablo,46,129,29.0,11.0,129.0,06013
2010,California,Fresno,Fresno,76,179,21.0,23.0,179.0,06019
2010,California,Humboldt,Eureka,22,41,4.0,10.0,41.0,32013
2010,California,Imperial,Calexico,79,116,13.0,51.0,116.0,06025
2010,California,Los Angeles,Los Angeles,104,122,56.0,30.0,122.0,06037
2010,California,Orange,Costa Mesa,68,101,13.0,24.0,101.0,51137
2010,California,Riverside,Rubidoux,62,156,21.0,22.0,156.0,06065
2010,California,Sacramento,Not in a city,95,142,4.0,18.0,142.0,06067
2010,California,San Bernardino,Victorville,107,142,71.0,26.0,142.0,06071
2010,California,San Diego,San Diego,82,71,20.0,25.0,82.0,06073
2010,California,Santa Barbara,Vandenberg Air Force Base,33,116,9.0,7.0,116.0,06083
2010,California,Santa Clara,San Jose,62,140,11.0,25.0,140.0,06085
2010,California,Solano,Vallejo,52,111,16.0,22.0,111.0,06095
2010,Colorado,Adams,Welby,61,77,54.0,20.0,77.0,55001
2010,Connecticut,Fairfield,Westport,53,119,7.0,6.0,119.0,45039
2010,Connecticut,Hartford,East Hartford,38,135,14.0,8.0,135.0,09003
2010,Connecticut,Litchfield,Cornwall,24,119,23.0,6.0,119.0,09005
2010,Connecticut,New Haven,New Haven,70,101,101.0,18.0,101.0,09009
2010,District Of Columbia,District of Columbia,Washington,85,151,69.0,40.0,151.0,
2010,Florida,Orange,Winter Park,48,109,14.0,17.0,109.0,51137
2010,Georgia,DeKalb,Not in a city,63,71,34.0,17.0,71.0,
2010,Idaho,Ada,Not in a city,52,80,10.0,9.0,80.0,16001
2010,Illinois,Cook,Northbrook,78,116,47.0,11.0,116.0,27031
2010,Illinois,Saint Clair,East Saint Louis,46,124,61.0,19.0,124.0,
2010,Indiana,Marion,Indianapolis (Remainder),51,100,71.0,15.0,100.0,54049
2010,Iowa,Polk,Des Moines,50,61,3.0,13.0,61.0,55095
2010,Iowa,Scott,Davenport,34,80,30.0,7.0,80.0,51169
2010,Kansas,Wyandotte,Kansas City,76,58,103.0,18.0,103.0,20209
2010,Louisiana,East Baton Rouge,Baton Rouge,67,104,102.0,26.0,104.0,22033
2010,Maine,Aroostook,Presque Isle,25,47,14.0,5.0,47.0,23003
2010,Maine,Cumberland,Portland,50,84,39.0,16.0,84.0,51049
2010,Maryland,Baltimore,Essex,63,200,47.0,25.0,200.0,24005
2010,Massachusetts,Suffolk,Boston,60,84,34.0,24.0,84.0,36103
2010,Nevada,Washoe,Reno,46,35,6.0,15.0,46.0,32031
2010,New Hampshire,Hillsborough,Manchester,61,104,87.0,16.0,104.0,33011
2010,New York,Bronx,New York,80,114,86.0,18.0,114.0,36005
2010,New York,Queens,New York,102,145,50.0,31.0,145.0,36081
2010,New York,Steuben,Not in a city,18,84,31.0,2.0,84.0,36101
2010,New York,Suffolk,Holtsville,45,140,26.0,6.0,140.0,36103
2010,North Carolina,Mecklenburg,Charlotte,53,140,46.0,23.0,140.0,51117
2010,North Dakota,Cass,Not in a city,55,74,10.0,7.0,74.0,48067
2010,Ohio,Medina,Not in a city,58,137,54.0,10.0,137.0,48325
2010,Oklahoma,Adair,Cherry Tree,19,90,9.0,3.0,90.0,40001
2010,Oklahoma,Tulsa,Tulsa,47,93,40.0,16.0,93.0,40143
2010,Oregon,Multnomah,Portland,38,64,11.0,27.0,64.0,41051
2010,Pennsylvania,Allegheny,Pittsburgh,55,129,52.0,14.0,129.0,42003
2010,Pennsylvania,Berks,Not in a city,42,129,59.0,11.0,129.0,42011
2010,Pennsylvania,Bucks,Bristol,44,164,44.0,11.0,164.0,42017
2010,Pennsylvania,Cambria,Johnstown,37,124,99.0,13.0,124.0,42021
2010,Pennsylvania,Erie,Erie,42,119,43.0,7.0,119.0,42049
2010,Pennsylvania,Philadelphia,Philadelphia,106,127,34.0,27.0,127.0,42101
2010,Pennsylvania,Washington,Charleroi,38,129,39.0,8.0,129.0,55131
2010,Pennsylvania,York,York,52,132,51.0,10.0,132.0,51199
2010,South Carolina,Charleston,Not in a city,15,97,31.0,3.0,97.0,45019
2010,Tennessee,Blount,Not in a city,9,119,21.0,7.0,119.0,47009
2010,Texas,Bexar,San Antonio,48,87,40.0,19.0,87.0,48029
2010,Texas,Dallas,Dallas,66,106,24.0,19.0,106.0,48113
2010,Texas,El Paso,El Paso,69,129,17.0,24.0,129.0,48141
2010,Texas,Harris,Houston,68,145,94.0,19.0,145.0,48201
2010,Texas,McLennan,Waco,34,100,13.0,3.0,100.0,48309
2010,Virginia,Alexandria City,Alexandria,60,142,24.0,10.0,142.0,51510
2010,Virginia,Hampton City,Hampton,29,154,62.0,7.0,154.0,51650
2010,Virginia,Henrico,East Highland Park,25,38,10.0,7.0,38.0,51087
